No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
77,"Copolymer of furan glycidyl ether or ester and carbon dioxide, and preparation thereof","FOSONG WANG [CN] 
JIQIANG HOU [CN] 
LIJUN QIAO [CN] 
WEI JUN [CN] 
XIANHONG WANG [CN] 
XIAOJIANG ZHAO [CN] 
FOSONG WANG 
JIQIANG HOU 
LIJUN QIAO 
WEI JUN 
XIANHONG WANG 
XIAOJIANG ZHAO","CHANGCHUN APPLIED CHEMISTRY [CN] 
CHANGCHUN APPLIED CHEMISTRY",CN101440157A,2008-12-25,"C08G64/02 
C08G64/34",,2009-05-27,2009-05-27,40724781
78,METHOD FOR PREPARING GLYCIDOL USING GLYCEROL AND GLYCIDOL OBTAINED THEREBY,"AHN BYOUNG SUNG [KR] 
CHOI JI SIK [KR] 
LEE HYE JIN [KR] 
LEE HYEJEONG [KR] 
LEE HYUN JOO [KR] 
LEE SANG DEUK [KR]",KOREA INST SCI & TECH [KR],US2016244419A1,2015-02-23,"C07D301/02 
C07D317/20","C07D301/02 (EP,KR,US) 
C07D317/20 (EP,KR,US)",2016-08-25,2016-08-25,56690266
79,OPTICALLY ACTIVE DERIVATIVES OF GLYCIDOL,"KLUNDER JANICE [US] 
ONAMI TETSUO [US] 
SHARPLESS KARL BARRY [US]",MASSACHUSETTS INST TECHNOLOGY [US],CA1340738C,1986-06-25,"C07D303/34 
C07D303/36 
C07D303/16",C07D303/16 (EP),1999-09-14,1988-01-14,27128478
80,Method for preparing glycidol,"ARTHUR CURRIER VERNON 
BELL JR JOHN BARR 
DAVID MALKEMUS JOHN",JEFFERSON CHEM CO INC,US2856413A,1956-07-23,C07D301/02,C07D301/02 (EP),1958-10-14,1958-10-14,24399295
81,ANION EXCHANGE STATIONARY PHASES BASED ON CROSSLINKED HYDROXYALKYLAMINE LAYER AND GLYCIDOL,"POHL CHRISTOPHER A [US] 
SAINI CHARANJIT [US]",DIONEX CORP [US],EP3542901A1,2018-03-22,"B01D15/36 
B01J41/05 
B01J41/07 
B01J41/13 
B01J41/20","B01D15/08 (CN) 
B01D15/363 (EP) 
B01J20/281 (CN) 
B01J20/3085 (CN) 
B01J41/05 (EP) 
B01J41/07 (EP) 
B01J41/09 (CN) 
B01J41/13 (EP,CN) 
B01J41/20 (EP) 
G01N30/02 (CN)",2019-09-25,2019-09-25,65904154
82,METHOD OF PRODUCING GLYCIDOL,"DANOV SERGEJ MIKHAJLOVICH [RU] 
OVCHAROV ALEKSANDR ALEKSANDROVICH [RU] 
RUSSKINA ANASTASIJA VLADIMIROVNA [RU] 
SESOROVA OL GA ANDREEVNA [RU] 
SULIMOV ALEKSANDR VLADIMIROVICH [RU] 
SULIMOVA ANNA VLADIMIROVNA [RU]",G OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA NIZHEGORODSKIJ GTU IM R E ALE [RU],RU2010108552A,2010-03-09,"C07D301/12 
C07D303/14",,2011-09-20,2011-09-20,44758283
83,"Polyolefines with increased stability on processing, and with improved colour","FRIEDRICH HANS-HELMUT 
LINHART HELMUT 
WIRTH HERMANN O",CIBA GEIGY CORP,US3907749A,1973-05-17,"C08F45/60 
C07C43/13 
C07C43/178 
C08K5/06 
C08K5/36 
C08K5/372 
C08K5/41 
C08L101/00 
C08L21/00 
C08L23/00 
C08L7/00","C07C323/00 (EP) 
C07C43/13 (EP) 
C07C43/1782 (EP) 
C08K5/06 (EP) 
C08K5/372 (EP) 
C08K5/06, C08L23/02, INV (EP)       
C08K5/372, C08L23/02, INV (EP)      ",1975-09-23,1974-11-18,5881206
84,"Process for the production of 1-amino-propanediol-(2,3) (I)","KLEEMANN AXEL 
NYGREN ROBERT 
WAGNER RUDOLF","KLEEMANN AXEL 
NYGREN ROBERT 
WAGNER RUDOLF",US4356323A,1980-04-12,"C07C89/02 
C07C91/10 
C07C213/04 
C07C215/10",C07C213/04 (EP),1982-10-26,1981-10-21,6099842
85,PRODUCTION OF GLYCERIN MONOACRYLATE OR METHACRYLATE,"AOYAMA HIROSHI 
TAKEMOTO ETSUO 
UDA SHINZO",DAICEL CHEM,JPH072682B2,1986-04-30,"C07C67/26 
C07C69/54 
C07C67/60 
C07C67/26 
C07C67/60 
C07C69/54",,1987-11-07,1987-11-07,14208588
86,Preparation of unsaturated cyclic orthoesters,"BODMANN KERSTIN [CH] 
BRUEHL JUTTA [DE] 
RUWWE JOHANNES [DE]",DEGUSSA [DE],EP1714964A1,2005-04-22,C07D317/34,C07D317/34 (EP),2006-10-25,2006-10-25,36675176
87,GLYCERIDE COMPOSITION AND MANUFACTURING METHOD OF THE GLYCERIDE COMPOSITION,"ARIMOTO MAKOTO 
HIRAI HIROSHI 
KOMORI RYOHEI 
MURANO MASAHIRO 
NAKAZAWA YUTO 
SAIDA TOSHINORI",NISSHIN OILLIO GROUP LTD,JP2015045023A,2009-09-07,"A23D9/02 
A23L29/00 
C11B3/00 
C11B3/04 
C11B3/10",,2015-03-12,2011-03-16,43841119
88,Production of glycidol and glycerine,KOLLAR JOHN,HALCON INTERNATIONAL INC,GB1124065A,1964-11-09,C07D301/19,C07D301/19 (EP),1968-08-21,1966-04-15,27020815
89,PROCESS FOR PRODUCING POLYGLYCERYL ETHER DERIVATIVE,SAITO AKIRA [JP],"KAO CORP [JP] 
SAITO AKIRA [JP]",WO2007066723A1,2005-12-09,"C07C41/03 
C07C43/13 
C08G65/48 
C07B61/00","C07C41/03 (EP) 
C08G65/22 (EP) 
C08G65/2609 (EP) 
C08G65/266 (EP) 
C08G65/2678 (EP) 
C07C41/03, C07C43/13, INV (EP)      ",2007-06-14,2007-06-14,38122868
90,Antistatic light-sensitive silver halide photographic element,"ANZAI HIDEYUKI [JP] 
CHIBA NORIO [JP] 
HORIGOME KOICHI [JP] 
ISHIHARA MASAO [JP] 
TERADA SADATUGU [JP] 
YAMAGUCHI HISASHI [JP]",KONISHIROKU PHOTO IND [JP],US4200465A,1974-11-12,"G03C1/78 
G03C1/96 
G03C1/89","G03C1/89 (EP) 
G03C1/895 (EP)",1980-04-29,1980-04-29,27316186
91,Verfahren zur Herstellung von 2-Hydroxycarbons�ureestern,"JANSEN ROLF [DE] 
KNOPP MONIKA [DE]",BASF AG [DE],DE19944049A1,1999-09-14,"C07C67/31 
C07C69/675 
C07C69/732 
C07C67/31 
C07C67/313 
C07C67/343 
C07C69/732","C07C67/343 (EP) 
C07C67/343, C07C69/675, INV (EP)       
C07C67/343, C07C69/732, INV (EP)      ",2001-03-15,2001-03-15,7922002
92,PROCESS FOR PREPARATION OF POLYHYDRIC ALCOHOL,"FUJITA TAKAO 
NAGANO KAZUO",NISSAN CHEMICAL IND LTD,JPS51133288A,1975-05-14,"C07D251/34 
B01J31/00 
C07B61/00 
C07D251/34",,1976-11-18,1976-11-18,13015660
93,Chiral epoxyalcohol recovery in asymmetric epoxidation process.,"SHUM WILFRED PO-SUM 
SHUM WILFRED PO-SUM [US]","ARCO CHEM CO [US] 
ARCO CHEM TECH [US]",EP0308188A2,1987-09-14,"C07D301/19 
C07D301/32 
C07D303/14 
C07B31/00 
C07B53/00 
C07B61/00 
C07C67/00 
C07D301/19 
C07D301/32 
C07D303/14 
C07D305/06 
C07D307/12 
C07D309/06 
C07D313/00","C07D301/19 (EP) 
C07D301/32 (EP) 
C07D303/14 (EP)",1989-03-22,1989-03-22,22253361
94,Improved silver complex diffusion transfer process,"HAES LOUIS MARIA DE 
RASSCHAERT ANTOINE THEOFIEL 
WILLEMS JOZEF FRANS",AGFA GEVAERT NV,GB1106763A,1965-02-26,G03C8/06,G03C8/06 (EP),1968-03-20,1966-07-25,9853257
95,Antibacterial dressing,WEI LIANG,ZHEJIANG DIHENG IND CO LTD,CN107325592A,2017-05-19,"C08J3/24 
C09D1/00 
C09D127/16 
C09D5/14 
C09D7/63 
C09D7/65","C08J3/24 (CN) 
C08K5/053 (CN) 
C08K5/06 (CN) 
C08K5/29 (CN) 
C09D1/00 (CN) 
C09D127/16 (CN) 
C09D5/14 (CN) 
C08J2325/06 (CN)",2017-11-07,2017-11-07,60193809
96,"WATER-SOLUBLE BETA-1,3-GLUCAN DERIVATIVE AND ANTIVIRAL AGENT CONTAINING THE DERIVATIVE","ISHIKAWA HIROSHI 
KIKUCHI MIKIO 
KONDO YOSHIKAZU 
KURODA TAKESHI 
MIYAMOTO HISASHI 
OBA YOSHIRO 
OCHI HIROTOMO","NIKKEN FOOD KK 
OTSUKA PHARMA CO LTD",JPH07228601A,1994-02-16,"A61K31/715 
C08B37/00 
A61K31/715 
A61P31/12 
A61P31/22 
C08B37/00",,1995-08-29,1995-08-29,11989386
97,PROCESS FOR RECOVERY OF GLYCIDOL,NAGLIERI ANTHONY N,HALCON INTERNATIONAL INC,CA873321A,,,,1971-06-15,1971-06-15,36359288
98,Anti-static modified thermoplastics,"FRIEDRICH HANS-HELMUT 
LINHART HELMUT 
WIRTH HERMANN O",CIBA GEIGY CORP,US3936422A,1974-01-10,"C08K5/36 
C07C43/13 
C08G18/00 
C08G65/08 
C08G65/26 
C08K5/00 
C08K5/06 
C08K5/37 
C08L1/00 
C08L101/00 
C08L23/00 
C08L23/02 
C08L27/00 
C08L27/06 
C08L33/00 
C08L33/02 
C08L75/00 
C08L75/04 
C08L77/00 
C09K3/16","C07C323/00 (EP) 
C08G65/08 (EP) 
C08G65/2636 (EP) 
C08L101/00 (EP) 
Y10S260/15 (EP) 
C08L101/00, C08L71/02, INV (EP)      ",1976-02-03,1975-07-17,4183523
99,Process for producing optically active epoxy alcohol derivatives,SHUM WILFRED P [US],ARCO CHEM TECH [US],US5252759A,1993-01-29,"C07D301/00 
C07D301/32 
C07D303/08 
C07D303/16 
C07B53/00 
C07D303/16",C07D303/16 (EP),1993-10-12,1993-10-12,21748320
100,Method for synthesizing achiral glycidol,"JIANLI GE 
JICHAO LI 
ZHIYONG PENG",CHENGDA PHARMACEUTICALS CO LTD,CN102516206A,2011-11-18,"B01J31/22 
C07D301/26 
C07D303/14",,2012-06-27,2012-06-27,46287329
101,Method of preparing glycidol,"BRUSON HERMAN A 
RIENER THOMAS W",IND RAYON CORP,US2636040A,1950-10-06,C07D301/02,C07D301/02 (EP),1953-04-21,1953-04-21,22694934
102,PRODUCTION OF OPTICALLY ACTIVE GLYCIDOL,"MIURA CHIE 
OTSUKA KOTARO 
SAEGUSA MACHIKO 
UMESATO TOMOKO",NAGASE & CO LTD,JPH0799993A,1993-10-01,"C12P41/00 
C12P41/00 
C12R1/38 
C12R1/645 
C12R1/845",,1995-04-18,1995-04-18,17157844
103,Glycidol polyether antibacterial powder coating,"SHEN LEI 
WANG YOUZHI 
ZHAO SHUYANG 
ZHAO XIANGZHI",YIYANG XIANGRUI TECHNOLOGY CO LTD,CN103102772A,2012-11-13,"C09D167/00 
C09D5/03 
C09D5/14 
C09D7/12",,2013-05-15,2013-05-15,48310988
104,Method of antistatic treatment for silver halide photosensitive materials,"CHIBA NORIO 
HORIGOME KOICHI 
ISHIHARA MASAO 
MATSUI MITATE 
TAGUCHI KENICHI 
TERADA SADATSUGU 
YOSHIDA KYUSAKU",KONISHIROKU PHOTO IND,US3951662A,1972-11-20,"G03C1/82 
C08G59/08 
C08G8/00 
C08G8/28 
C08L63/04 
G03C1/85 
G03C1/89","C08G59/08 (EP) 
C08L63/04 (EP) 
G03C1/895 (EP)",1976-04-20,1974-05-30,14667656
105,Process For The Manufacture Of Glycidol and Glycerol,,FMC CORP [US],GB1153971A,1966-01-11,"C07D1/18 
C07C29/10 
C07D301/14 
C07D303/14","C07C29/106 (EP) 
C07D301/14 (EP) 
Y02P20/582 (EP) 
C07C29/106, C07C31/225, INV (EP)      ",1969-06-04,1967-07-10,24070021
106,Tetrahydrofuran-glycidol random hyperbranched copolyether and preparation method thereof,"BAI YANG 
FAN WEIWEI 
FAN XIAODONG 
WANG GANG 
ZHANG WANBIN",UNIV NORTHWESTERN POLYTECHNIC,CN102887998A,2012-09-24,C08G65/28,,2013-01-23,2013-01-23,47531688
107,PREPARATION OF ALKYL GLYCERYL ETHER ALCOHOLS,BERKOWITZ SIDNEY,FMC CORP,CA1132615A,1979-07-27,"C07C43/13 
C07C41/03 
C07C43/13","C07C41/03 (EP) 
C07C41/03, C07C43/13, INV (EP)       
C07C41/03, C07C43/135, INV (EP)      ",1982-09-28,1981-03-11,26740853
108,Green method for separating plant monophenol glycidol ether and recycling industrial salt,DAI ZHICHENG,SUZHOU BAOLIRUI BIOLOG MATERIAL TECHNOLOGY DEV CO LTD,CN104130217A,2014-07-18,"C01D3/04 
C07D301/24 
C07D301/32 
C07D303/23","C01D3/04 (CN) 
C07D301/24 (CN) 
C07D301/32 (CN) 
Y02P20/582 (EP)",2014-11-05,2014-11-05,51803113
109,ANION EXCHANGE STATIONARY PHASES BASED ON CROSSLINKED HYDROXYALKYLAMINE LAYER AND GLYCIDOL,"POHL CHRISTOPHER A [US] 
SAINI CHARANJIT [US]",DIONEX CORP [US],US2019291094A1,2018-03-22,"B01D15/36 
B01J41/04 
B01J41/13 
B01J41/20 
C08J5/22","B01D15/363 (EP,US) 
B01J41/04 (US) 
B01J41/13 (EP,US) 
B01J41/20 (EP,US) 
C08J5/2256 (US) 
C08J5/2287 (US) 
C08J2363/00 (US)",2019-09-26,2019-09-26,67984574
110,Furan glycidyl ether or ester-epoxypropane-CO2 copolymer and preparation thereof,"FOSONG WANG [CN] 
LIJUN QIAO [CN] 
XIANHONG WANG [CN] 
XIAOJIANG ZHAO [CN] 
YUXI HU [CN]",CHANGCHUN APPLIED CHEMISTRY [CN],CN101440158A,2008-12-25,"C08G64/02 
C08G64/34",,2009-05-27,2009-05-27,40724782
111,Method for producing highly-branched glycidol-based polyols,"MULHAUPT ROLF [DE] 
SUNDER ALEXANDER [DE] 
MUELHAUPT ROLF [DE]",BAYER AG [DE],US2003120022A1,1998-12-22,"C08G59/68 
C08G65/26 
C08G65/28 
C08G18/48 
C08G65/22 
C08G65/26 
C08G65/28","C08G18/48 (EP) 
C08G65/22 (EP) 
C08G65/2648 (EP)",2003-06-26,2003-05-15,46281801
112,Curable resin composition for abrasion-resistant coating,"KAETSU ISAO 
YOSHIDA MASARU",JAPAN ATOMIC ENERGY RES INST,US4081421A,1974-09-18,"C08G65/22 
C08K5/01 
C08K5/05 
C08K5/07 
C08G65/00 
C08G65/02 
C08G65/22 
C08G65/28 
C08G65/32 
C09D171/00 
C09D171/02","C08G65/22 (EP) 
C08K5/04 (EP) 
C08K5/54 (EP) 
C08L57/00 (EP) 
C08L71/02 (EP) 
C09D171/02 (EP) 
Y10T428/31511 (EP,US) 
Y10T428/31525 (EP,US) 
Y10T428/31529 (EP,US) 
C08L71/02, C08L57/00, C08K5/04, C08K5/54, INV (EP)       
C09D171/02, C08L2666/04, C08L2666/28, INV (EP)      ",1978-03-28,1976-04-02,14442350
113,ANION EXCHANGE STATIONARY PHASES BASED ON CROSSLINKED HYDROXYALKYLAMINE LAYER AND GLYCIDOL,"POHL CHRISTOPHER A [US] 
SAINI CHARANJIT [US]",DIONEX CORP [US],US2020047176A1,2018-08-10,"B01J41/13 
B01J41/20 
C08L63/00 
C08L79/02","B01J41/13 (EP,US) 
B01J41/20 (EP,US) 
B01J47/022 (EP) 
C08G59/145 (EP) 
C08G59/1477 (EP) 
C08G59/1494 (EP) 
C08G73/0226 (EP) 
C08G73/024 (EP) 
C08L63/00 (US) 
C08L79/02 (US) 
C08G59/145 (US) 
C08G59/1477 (US)",2020-02-13,2020-02-13,69405365
114,Producing alkenyl polyglycerols useful as modifiers for hydrogen-functional dimethylpolysiloxanes and as comonomers comprises ring-opening polymerization of glycidol with an alkenol or alkenyl glycerol,SAKANISHI YUICHI [JP],DAICEL CHEM [JP],DE102007043618A1,2006-09-13,"C07C41/02 
C07C43/178 
C08G65/28","C07C41/03 (EP) 
C07C43/178 (EP) 
C08G65/48 (EP) 
C07C41/03, C07C43/178, INV (EP)      ",2008-03-27,2008-03-27,39105387
115,Glycidol ether containing cyclohexyl binary ether alcohol and preparation method thereof,"JINCHENG HUANG [CN] 
KAIJIA QU [CN] 
LIFENG XIA [CN] 
LINHUI GAO [CN] 
SHUANGXIU HE [CN] 
XUHUI CHEN [CN] 
JINCHENG HUANG 
KAIJIA QU 
LIFENG XIA 
LINHUI GAO 
SHUANGXIU HE 
XUHUI CHEN","YUEYANG CHANGDE CHEMICAL INDUS [CN] 
YUEYANG CHANGDE INC",CN101591312A,2008-08-27,"C07D301/00 
C07D303/30 
C09D163/00 
C09D7/12 
C09J11/06 
C09J163/00",,2009-12-02,2009-04-15,40570737
116,FLUORINATED ALCOHOLS-GLYCIDOL ADDITION PRODUCTS,TESORO GIULIANA C,STEVENS & CO INC J P,US3470258A,1967-04-19,"C07C43/18 
C08G65/26 
C11D1/00","C08G65/2639 (EP) 
C11D1/004 (EP) 
Y10S516/01 (EP)",1969-09-30,1969-09-30,24533710
117,GLYCIDOL AND GLYCIDYL ESTER POLYMERS,"CORSON FREDRICK PETER 
SEXTON ARTHUR ROSS 
STEVENS VIOLETE LEE",DOW CHEMICAL CO,AU7825075A,1974-02-20,"C08G23/20 
C08G23/22 
B01F17/42 
C08G65/00 
C08G65/32 
C08L71/02 
C14C11/00","C08L71/02 (EP) 
C08L71/02, C08L2666/02, INV (EP)      ",1976-08-19,1975-08-21,27412198
118,ALKYL GLYCIDOL CARBONATES USED AS CO-SURFACTANTS,"KLUGE MICHAEL [DE] 
NOERENBERG RALF [DE] 
SCHOLTISSEK MARTIN [DE] 
TROPSCH JUERGEN [DE] 
WULFF CHRISTIAN [DE]",BASF AG [DE],CA2500780A1,2002-10-01,"C07D317/38 
C11D1/66 
C11D1/83 
C07D317/38 
C11D1/42 
C11D1/52 
C11D1/66 
C11D3/20 
C11D3/32 
C11D3/34","C07D317/38 (EP) 
C11D1/42 (EP) 
C11D1/528 (EP) 
C11D1/66 (EP) 
C11D1/667 (EP) 
C11D3/2096 (EP) 
C11D3/32 (EP) 
C11D3/3427 (EP)",2004-04-15,2004-04-15,32010144
119,PRODUCTION OF POLYGLYCEROL MONOFATTY ACID ESTER,"MARUO KATSUYA 
OMORI HIDETOSHI",DAICEL CHEM,JP3828657B2,1998-02-06,"C07C69/33 
C08G65/26 
C07C69/33 
C08G65/26",,1999-08-17,1999-08-17,12562179
120,METHOD FOR PRODUCING (POLY)GLYCERYL ETHER,"NISHI TAKAFUMI 
SEKI YUICHIRO 
YAMAMOTO TAKESHI",KAO CORP,JP2011153112A,2010-01-28,"C07C41/03 
C07C43/13 
C08G65/28 
C07B61/00",,2011-08-11,2011-08-11,44539345
121,GLYCIDOL FUNCTIONALIZED ANION EXCHANGE STATONARY PHASES,POHL CHRISTOPHER A [US],DIONEX CORP [US],WO2014043174A1,2012-09-11,"B01D15/02 
B01J20/288 
B01J20/32 
B01J41/08","B01D15/363 (EP,CN,US) 
B01J20/288 (EP,CN,US) 
B01J20/3251 (EP,CN,US) 
B01J20/3289 (EP,CN,US) 
B01J41/09 (EP,CN) 
B01J41/20 (EP,CN,US)",2014-03-20,2014-03-13,49230861
122,PROCESS FOR PREPARING (S)-(-)-FELODIPINE,"AUH JIN [KR] 
BAE KYOUNG HO [KR] 
JIN KYUNG YONG [KR] 
JONG CHANG WOO [KR] 
KWON O ZOON [KR] 
LEE HEE YOON [KR] 
MOON BYUNG HYUN [KR] 
SHIN JUNG AH [KR] 
WON DUK KWON [KR]","AHN GOOK PHARMACEUTICAL CO LTD [KR] 
AUH JIN [KR] 
BAE KYOUNG HO [KR] 
JIN KYUNG YONG [KR] 
JONG CHANG WOO [KR] 
KOREA ADVANCED INST SCI & TECH [KR] 
KWON O ZOON [KR] 
LEE HEE YOON [KR] 
MOON BYUNG HYUN [KR] 
SHIN JUNG AH [KR] 
WON DUK KWON [KR]",WO2010027113A2,2008-09-04,"C07D211/90 
C07D213/80",C07D211/90 (EP),2010-03-11,2010-03-11,41797605
123,POLYMER CONTAINING HYDROXY GROUP AND METHOD FOR PRODUCING THE SAME,"ENDO TAKESHI 
INOMATA KIYOSHI 
KATO KENJI",NOF CORP,JP2003277494A,2002-03-22,"C08G64/34 
C08G64/34",,2003-10-02,2003-10-02,29229508
124,IMPROVED FRACTIONATION PROCESSES,"HINRICHSEN NILS [DE] 
HOGAN PHIL [GB]",ARCHER DANIELS MIDLAND CO [US],WO2013163112A1,2012-04-27,"A23D9/00 
C11B3/00","A23D9/02 (EP) 
C11B3/04 (EP) 
C11B3/06 (EP) 
C11B3/10 (EP)",2013-10-31,2013-10-31,48428631
125,PROCESS FOR PRODUCING GLYCIDYL SULFONATE DERIVATIVES,"FURUKAWA YOSHIRO [JP] 
MASAKI MIDORI [JP] 
TAKENAKA KEISHI [JP]",DAISO CO LTD [JP],CA2242954A1,1996-01-19,"C07D303/16 
C07D303/34 
C07D301/00 
C07D303/16","C07D301/00 (EP) 
C07D303/16 (EP)",1997-07-24,1997-07-24,11663690
126,PRODUCTION OF GLYCIDYL ACRYLATE OR GLYCIDYL METHACRYLATE,"HONMA AKIHIRO 
ISOZAKI TAKESHI 
KUROKAWA MASAHIRO",MITSUBISHI GAS CHEMICAL CO,JP3654306B2,1994-05-20,"B01J27/26 
B01J31/02 
C07B61/00 
C07D301/32 
C07D303/16 
B01J27/26 
B01J31/02 
C07B61/00 
C07D301/32 
C07D303/16",C07D303/16 (EP),1995-11-28,1995-11-22,14438141
127,Process for the preparation of epoxy resins with concurrent addition of glycidol and epihalohydrin,"HADJISTAMOV DIMITER [CH] 
SCHAFFNER WERNER [CH]",CIBA GEIGY CORP [US],US5278260A,1990-04-12,"C08G59/06 
C08G65/28 
C08G59/06",C08G59/063 (EP),1994-01-11,1994-01-11,27428142
128,"Colorants and intermediates therefor having branched poly(oxyalkylene)moieties, and their manufacture","HINES JOHN B [US] 
KLUGER EDWARD W [US] 
MOODY DAVID J [US]",MILLIKEN RES CORP [US],US5591833A,1990-06-28,"C09B69/10 
D06P5/13 
C09B69/00",C09B69/00 (EP),1997-01-07,1997-01-07,27068153
129,Composite material for vacuum pump swirl plate,CHENG XIAOFENG,TIANJIN HUACHENG HUAFENG ELECTRICAL EQUIPMENT CO LTD,CN108070217A,2016-11-18,"C08K7/14 
C08L63/00","C08K7/14 (CN) 
C08K7/14, C08L63/00, INV (CN)      ",2018-05-25,2018-05-25,62159897
130,PRODUCTION OF POLYGLYCEROL MONOFATTY ACID ESTER,"ENDO TOSHIRO 
UENO TAKASHI",DAICEL CHEM,JP2000143584A,1998-11-12,"B01J27/16 
C07C67/08 
C07C69/30 
B01J27/16 
C07C67/08 
C07C69/30",,2000-05-23,2000-05-23,18146414
131,Glycidol modified succinimides and fuel compositions containing the same,PLAVAC FRANK [US],CHEVRON RES [US],US4631070A,1984-11-21,"C10L1/18 
C10L1/22 
C08F8/00 
C10L1/224 
C10L1/2383 
C10M133/16 
C10M133/56","C08F8/02 (EP,US) 
C08F8/48 (EP,US) 
C10L1/224 (EP,US) 
C10L1/2383 (EP,US) 
C10M133/16 (EP,US) 
C10M133/56 (EP,US) 
C10M2215/04 (EP,US) 
C10M2215/042 (EP,US) 
C10M2215/22 (EP,US) 
C10M2215/221 (EP,US) 
C10M2215/225 (EP,US) 
C10M2215/226 (EP,US) 
C10M2215/26 (EP,US) 
C10M2215/30 (EP,US) 
C10M2217/046 (EP,US) 
C10M2217/06 (EP,US) 
C10M2227/061 (EP,US) 
C10N2040/25 (EP,US) 
C10N2040/251 (EP,US) 
C10N2040/255 (EP,US) 
C10N2040/28 (EP,US) 
C10N2070/02 (EP,US) 
C08F8/02, C08F8/32, C08F8/48, C08F8/32%2, C08F110/10, INV (EP,US)       
C08F8/02, C08F8/48, C08F8/32, C08F110/10, INV (EP,US)       
C08F8/48, C08F8/32, C08F110/10, INV (EP,US)      ",1986-12-23,1986-12-23,27101059
132,NOVEL METHOD OF PURIFICATION OF GLYCIDOL,"ARASHIBA NOBUMASA 
KOGA EIJI 
NAKANISHI TAKEHISA",MITSUI TOATSU CHEMICALS,JPH053466B2,1984-06-29,"C07D301/32 
C07D303/14 
C07D301/32 
C07D303/14",,1986-01-21,1986-01-21,15100670
133,METHOD FOR PRODUCING GLYCEROL MONOACRYLATE,"KANO DAISUKE 
KONAKA YOSHINORI",NOF CORP,JP2014118389A,2012-12-17,"C07C67/26 
C07C69/54 
C07B61/00",,2014-06-30,2014-06-30,51173546
134,RECORDING MEDIUM LIQUID,"HARUTA MASAHIRO 
MATSUFUJI YOUJI 
OOTA NORIYA 
SAKAEDA TAKESHI 
YANO YASUHIRO",CANON KK,JPS5527370A,1978-08-18,"C09D11/00 
C09D11/00 
C09D11/02",,1980-02-27,1980-02-27,14293939
135,Glycidol from allyl alcohol - by epoxidation using hydroperoxide with vanadium compound catalyst,,HALCON INTERNATIONAL INC,NL162648B,1964-11-09,"C07C29/10 
C07C31/22 
C07D301/20 
C07D303/14 
C07D301/19 
C07D301/19",C07D301/19 (EP),1975-07-31,1975-07-31,27351349
136,PROCESS FOR PRODUCING GLYCIDYL SULFONATE DERIVATIVE,"KONDO TAKESHI [JP] 
MORI NATSUKI [JP] 
TAOKA NAOAKI [JP] 
UEYAMA NOBORU [JP]","KANEKA CORP [JP] 
KONDO TAKESHI [JP] 
MORI NATSUKI [JP] 
TAOKA NAOAKI [JP] 
UEYAMA NOBORU [JP]",WO2004094397A1,2003-04-21,"C07D301/26 
C07D303/16 
C07D301/26 
C07D303/16",C07D301/26 (EP),2004-11-04,2004-11-04,33307980
137,Method for measuring glycidol in mainstream smoke of cigarettes,"HUANG XINMIN 
JI HOUWEI 
LIU JIAN 
RUAN YIBIN 
WANG WEIWEI 
ZHANG LI 
ZHANG XIAOTAO",CHINA TOBACCO GUIZHOU IND CO,CN109975467A,2017-12-28,G01N30/88,G01N30/88 (CN),2019-07-05,2019-07-05,67075067
138,PROCESS FOR THE PREPARATION OF GLYCIDYL DERIVATIVES,"KIM HO-CHEOL [KR] 
KIM SEONG-JIN [KR] 
LEE HO-SEONG [KR] 
YUN JIN-WON [KR]","KIM HO-CHEOL [KR] 
KIM SEONG-JIN [KR] 
LEE HO-SEONG [KR] 
RSTECH CORP [KR] 
YUN JIN-WON [KR]",WO2006019202A1,2004-08-19,C07D303/16,C07D303/16 (EP),2006-02-23,2006-02-23,35907581
139,Chloropropanol removal process,"EOGHAIN O'HARA [GB] 
MARTIN ATKINS [GB] 
PETER GOODRICH [GB]","FGV APPLIED TECH SDN BHD [MY] 
GREEN LIZARD TECH LTD [GB]",GB2578478A,2018-10-29,C11B3/06,"C11B3/06 (EP,GB)",2020-05-13,2020-05-07,64655360
140,Membranes (V) comprising cellulosic material and hydrophilic block copolymer,"AIT-HADDOU HASSAN 
ONYEMAUWA FRANK OKEZIE 
XIAO LIXIANG",PALL CORP,CN105214525A,2014-06-30,"B01D67/00 
B01D71/08 
B01D71/80 
C08J5/18 
C08J9/26 
C08L1/02 
C08L53/00","B01D69/02 (EP) 
B01D71/08 (EP) 
B01D71/10 (EP) 
B01D71/12 (EP) 
B01D71/80 (EP) 
C08J9/0061 (US) 
B01D2323/02 (EP) 
B01D2323/12 (EP) 
B01D2323/18 (EP) 
B01D2325/36 (EP) 
B01D71/52 (EP) 
B01D71/68 (EP) 
C08J2301/12 (US) 
C08J2381/06 (US)",2016-01-06,2015-12-31,54011946
141,PROCESSED PALM OIL,HOGAN PHIL [GB],ARCHER DANIELS MIDLAND CO [US],WO2017214079A1,2016-06-06,"C11B3/00 
C11B3/08 
C11B3/10","C11B3/00 (EP) 
C11B3/08 (EP) 
C11B3/10 (EP) 
C11B3/14 (EP)",2017-12-14,2017-12-14,60578904
